treatment,att_start,att_end,att_chg,income,liberal,republican,age,male,treatment.2
1,11,11,0,135000,0,0,31,0,Treated
1,9,10,1,105000,0,1,34,0,Treated
1,3,5,2,135000,1,0,63,1,Treated
1,11,11,0,300000,0,0,45,1,Treated
0,8,5,-3,135000,1,0,55,1,Control
1,13,13,0,87500,0,0,37,0,Treated
0,13,13,0,87500,0,1,53,0,Control
1,10,11,1,135000,0,0,36,1,Treated
0,12,12,0,105000,0,0,54,0,Control
1,9,10,1,135000,0,1,42,1,Treated
0,10,9,-1,105000,0,0,33,0,Control
1,11,9,-2,250000,0,0,50,1,Treated
1,13,13,0,105000,0,1,24,1,Treated
0,6,7,1,62500,1,0,40,1,Control
0,8,8,0,300000,1,0,53,1,Control
1,13,13,0,105000,1,0,50,0,Treated
1,7,8,1,135000,0,0,33,0,Treated
1,13,13,0,250000,0,1,33,1,Treated
1,9,9,0,250000,1,0,32,0,Treated
1,15,15,0,135000,0,1,57,0,Treated
1,12,12,0,62500,1,0,41,0,Treated
1,11,10,-1,105000,1,0,36,0,Treated
0,10,9,-1,135000,0,0,43,1,Control
1,8,8,0,62500,1,0,25,0,Treated
0,6,7,1,250000,0,0,41,1,Control
0,10,10,0,105000,1,0,33,0,Control
0,7,6,-1,62500,1,0,44,1,Control
0,7,6,-1,250000,0,1,46,1,Control
0,11,11,0,135000,0,1,41,0,Control
0,9,7,-2,105000,0,0,28,0,Control
0,4,4,0,135000,1,0,36,1,Control
0,6,7,1,105000,0,1,37,1,Control
1,9,11,2,87500,0,0,38,1,Treated
0,5,5,0,42500,0,0,48,1,Control
1,8,10,2,135000,1,0,20,0,Treated
0,5,7,2,105000,1,0,52,0,Control
0,9,9,0,87500,0,0,38,1,Control
0,7,6,-1,250000,1,0,45,1,Control
0,8,8,0,105000,1,0,55,0,Control
0,4,4,0,87500,1,0,38,0,Control
0,3,3,0,135000,1,0,45,0,Control
0,8,9,1,300000,0,0,44,1,Control
1,12,12,0,135000,0,1,36,1,Treated
1,9,15,6,42500,1,0,29,0,Treated
1,10,10,0,62500,1,0,42,1,Treated
0,7,8,1,135000,1,0,43,0,Control
1,8,8,0,105000,1,0,54,0,Treated
1,9,8,-1,135000,0,0,39,1,Treated
0,7,6,-1,135000,0,0,31,1,Control
0,12,10,-2,135000,0,0,50,1,Control
0,10,9,-1,87500,1,0,60,0,Control
0,13,9,-4,135000,1,0,67,1,Control
0,3,3,0,135000,0,0,54,0,Control
0,10,9,-1,250000,0,1,44,0,Control
1,11,12,1,175000,0,0,50,0,Treated
0,14,11,-3,135000,1,0,20,1,Control
0,3,3,0,105000,1,0,57,1,Control
1,4,5,1,135000,0,0,25,0,Treated
1,5,7,2,250000,1,0,60,1,Treated
1,14,14,0,62500,0,1,44,1,Treated
1,7,8,1,87500,1,0,35,0,Treated
1,4,6,2,135000,1,0,54,1,Treated
1,15,13,-2,135000,0,0,52,1,Treated
1,13,10,-3,300000,0,0,47,1,Treated
0,5,6,1,105000,1,0,60,1,Control
0,9,8,-1,300000,0,1,47,1,Control
0,6,6,0,42500,0,0,22,1,Control
1,11,11,0,250000,1,0,56,0,Treated
1,7,7,0,87500,1,0,50,1,Treated
0,15,15,0,135000,1,0,21,1,Control
0,9,8,-1,250000,1,0,29,0,Control
0,12,11,-1,300000,0,0,45,1,Control
1,5,5,0,135000,1,0,46,1,Treated
0,11,11,0,135000,0,1,42,1,Control
1,9,9,0,135000,0,0,23,1,Treated
0,11,14,3,62500,0,0,29,1,Control
0,5,6,1,135000,1,0,60,0,Control
0,6,5,-1,135000,1,0,41,0,Control
0,12,10,-2,135000,1,0,30,0,Control
0,9,9,0,135000,0,0,61,1,Control
0,11,10,-1,135000,0,1,21,0,Control
0,11,12,1,250000,0,0,46,1,Control
1,12,12,0,250000,0,1,53,1,Treated
0,8,8,0,87500,0,0,45,1,Control
0,6,8,2,250000,0,0,46,1,Control
0,13,10,-3,250000,0,0,63,1,Control
0,15,12,-3,250000,0,1,21,0,Control
0,9,9,0,87500,1,0,31,1,Control
1,15,14,-1,105000,0,0,35,0,Treated
0,12,11,-1,135000,0,0,22,0,Control
0,11,10,-1,62500,1,0,68,0,Control
1,8,8,0,105000,1,0,27,1,Treated
1,3,4,1,105000,1,0,22,1,Treated
1,9,12,3,62500,0,0,30,0,Treated
1,9,10,1,62500,0,0,59,1,Treated
0,10,7,-3,62500,1,0,56,0,Control
1,13,12,-1,42500,0,0,32,0,Treated
1,10,10,0,62500,0,0,35,0,Treated
0,9,6,-3,300000,0,0,23,1,Control
0,13,13,0,135000,1,0,60,1,Control
0,13,12,-1,250000,0,0,50,1,Control
1,3,5,2,62500,1,0,31,1,Treated
1,12,13,1,300000,1,0,43,0,Treated
1,11,14,3,105000,0,0,30,0,Treated
0,9,8,-1,105000,1,0,54,1,Control
1,11,10,-1,105000,0,1,52,0,Treated
0,7,7,0,23500,1,0,52,1,Control
0,13,13,0,62500,0,0,50,0,Control
1,8,8,0,87500,0,0,37,1,Treated
1,11,9,-2,105000,1,0,27,1,Treated
0,10,12,2,250000,0,1,55,0,Control
0,7,9,2,87500,0,0,42,1,Control
0,9,8,-1,300000,0,0,68,1,Control
0,6,7,1,135000,1,0,52,0,Control
1,7,7,0,135000,1,0,50,0,Treated
